,name,content,date,like,place,tags,link,follower,follow
30,카페하이웨스트,☕🍪벌써부터 설레는 크리스마스🎅🏻🎄...#카페투어그램,2020-11-20,0,미리크리스마스,['#카페투어그램'],https://www.instagram.com/__flower_deer/,333000,3844
31,카페하이웨스트,온통 버터색 ♡ ⋆⁺₊⋆ ♡⋆⁺₊⋆ ♡⋆⁺,2020-11-20,21,,[],https://www.instagram.com/zuulog/,583,58
32,카페하이웨스트,"#카페레이어드#카페하이웨스트 연남동, 익선동에 위치한 카페 레이어드유럽 분위기를 물씬 풍기는인테리어와 소품, 그리고디저트들이 조화롭게 어우러진 공간주말에 방문 시에는 테이블 사이에간격이 좁다보니 정신없고살짝 소란스러워 평일에 가는 것을 추천한다 ☻︎#연남동카페 #익선동카페 #익선동 #연남동",2020-11-19,46,하이웨스트익선,"['#카페레이어드', '#카페하이웨스트', '#연남동카페', '#익선동카페', '#익선동', '#연남동']",https://www.instagram.com/daily_pounding/,54,27
33,카페하이웨스트,흔들,2020-11-19,64,골목길,[],https://www.instagram.com/gosilver_5l6/,193,113
34,카페하이웨스트,#카페하이웨스트 #익선동 #카페 #하이웨스트익선 #추천 #맛있다 #20201119,2020-11-19,50,하이웨스트익선,"['#카페하이웨스트', '#익선동', '#카페', '#하이웨스트익선', '#추천', '#맛있다', '#20201119']",https://www.instagram.com/redyiredyi/,965,1043
35,카페하이웨스트,#카페하이웨스트 #익선동 #카페 #하이웨스트익선 #20201119,2020-11-19,58,하이웨스트익선,"['#카페하이웨스트', '#익선동', '#카페', '#하이웨스트익선', '#20201119']",https://www.instagram.com/redyiredyi/,965,1043
36,카페하이웨스트,"[ 익선동 카페 / 카페하이웨스트 ]내 생일 케이크는 크리스마스 댕댕이 🧣제 탄생화가 크리스마스로즈예요, 설마 알고서 사온건,,,절대로 아니겠죠? 🤣레드벨벳 케이크라서 너무 느끼하지않고 맛있었어요 💓요론 조각케이크말고도 맛있는빵이 많이 파는데, 하나같이 다 맛있어보이네욘 몬가 뒤에 창있고 커텐 엘레강스해서 분위기도 오져버리는 익선동이예요다음엔 스콘먹어보고 올게요 💓#카페하이웨스트",2020-11-19,196,하이웨스트익선,['#카페하이웨스트'],https://www.instagram.com/jalmukza/,3149,1885
37,카페하이웨스트,..곳곳에 예쁜 카페들이 많네요.요즘 스튜디오 근처를 걸어 다니며 새롭게 보이는 것들에 대한기쁨을 알아가고 있어요🕊......#카페하이웨스트#평온한하루#행복#에스프레소#카페그램#스케치,2020-11-18,29,하이웨스트익선,"['#카페하이웨스트', '#평온한하루', '#행복', '#에스프레소', '#카페그램', '#스케치']",https://www.instagram.com/demoon_sungji/,179,170
38,카페하이웨스트,베이커리 코너가 인상적이었던 #카페하이웨스트 귀여운거 옆에 귀여운거🥰🍰,2020-11-18,26,Cafe Highwaist,['#카페하이웨스트'],https://www.instagram.com/yeeun_cafe/,27,31
39,카페하이웨스트,今まで行ったカフェでいっちばんかわいかったのは間違いなくここ😭(T . T)🧡💛#cafehighwaist#延南洞カフェ#카페하이웨스트#韓国旅行,2020-11-17,8,Cafe Highwaist,"['#cafehighwaist', '#延南洞カフェ', '#카페하이웨스트', '#韓国旅行']",https://www.instagram.com/tj951210/,6,11
40,카페하이웨스트,하이웨스트 연남점의 크리스마스 준비🎅🏻❤️..#카페레이어드 #카페하이웨스트 #cafelayered ##cafehighwaist #연남동카페 #익선동카페 #북촌카페,2020-11-17,300,Cafe Highwaist,"['#카페레이어드', '#카페하이웨스트', '#cafelayered', '#cafehighwaist', '#연남동카페', '#익선동카페', '#북촌카페']",https://www.instagram.com/cafe_layered/,119000,435
41,카페하이웨스트,🧡...#카페레이어드 #카페하이웨스트 #cafelayered ##cafehighwaist #연남동카페 #익선동카페,2020-11-17,254,Cafe Highwaist,"['#카페레이어드', '#카페하이웨스트', '#cafelayered', '#cafehighwaist', '#연남동카페', '#익선동카페']",https://www.instagram.com/cafe_layered/,119000,435
42,카페하이웨스트,이렇게 귀여운걸 어뚜케 먹징 ๑❛ڡ❛๑,2020-11-17,859,Cafe Highwaist,[],https://www.instagram.com/lovechoi_/,5792,532
